TransactionID,CustomerID,ProductID,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,RefundedAmount,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType,Delivery Date,Shipping Date ,Transaction Date
Txn_269,Cust_9473,Prod_47,4,50,292,Online Payment,1,0,Completed,"1681 Jeffrey Vista Brandibury, NJ 79569",0,0,28-Sep-24,19-Jan-24,0,0,FALSE,0,In-Store,19-Jan-24,16-Jul-24,20-Sep-24
Txn_574,Cust_5149,Prod_11,5,50,292,Cash,3,0,Unknown,"77032 Perez Skyway Apt. 856 Trevorport, FL 93943",0,0,09-Jul-24,22-Jul-24,0,0,TRUE,0,In-Store,30-May-24,22-Sep-24,22-Jul-24
Txn_738,Cust_303,Prod_14,5,50,292,Cash,2,0,Pending,"1214 Patricia Park Apt. 143 Petersonstad, TX 28313",0,0,07-Jun-24,24-Aug-24,0,0,TRUE,0,Online,10-Feb-24,26-Jul-24,24-Aug-24
Txn_966,Cust_4162,Prod_28,8,50,292,Online Payment,1,0,Failed,"48856 Jennifer Parks Apt. 647 Lesliemouth, WY 55211",0,0,07-Jan-24,11-Aug-24,0,0,TRUE,0,In-Store,28-Apr-24,11-Aug-24,06-Feb-24
Txn_1928,Cust_9859,Prod_6,5,50,292,Debit Card,1,0,Failed,"48756 Randy Mills Suite 454 Kaylaberg, IL 01330",0,0,29-Sep-24,07-Jun-24,0,0,FALSE,0,Online,20-Sep-24,02-Sep-24,08-Apr-24
Txn_2210,Cust_133,Prod_22,5,50,292,Credit Card,1,0,Unknown,"4106 Dougherty Inlet Apt. 809 Batesborough, OH 95934",0,0,20-Jul-24,04-Feb-24,0,0,TRUE,0,In-Store,27-Mar-24,26-Feb-24,06-Oct-24
Txn_3037,Cust_7922,Prod_4,6,50,292,Online Payment,1,0,Completed,"49334 Mueller Village Toddview, LA 22103",0,0,04-Sep-24,17-Jun-24,0,0,TRUE,0,In-Store,24-Feb-24,17-Jun-24,17-Jun-24
Txn_3506,Cust_7122,Prod_29,8,50,292,Credit Card,1,0,Pending,"129 Tara Corner New Nancy, MH 61070",0,0,12-Jun-24,06-May-24,0,0,FALSE,0,In-Store,14-Apr-24,25-Jun-24,06-May-24
Txn_4075,Cust_6694,Prod_33,5,50,292,Debit Card,2,0,Failed,"8359 Denise Route North Jasonberg, IL 64292",0,0,19-Apr-24,09-Jan-24,0,0,TRUE,0,In-Store,14-Sep-24,19-Aug-24,27-Mar-24
Txn_4171,Cust_8966,Prod_12,4,50,292,Cash,3,0,Pending,"53501 Michael Forks Parkborough, NV 13760",0,0,17-Apr-24,14-Sep-24,0,0,FALSE,0,Online,14-Sep-24,14-Sep-24,02-Jul-24
Txn_4230,Cust_2112,Prod_2,5,50,292,Credit Card,2,0,Failed,"566 Amy Union Apt. 177 Stephaniemouth, OK 67532",0,0,10-Sep-24,05-Apr-24,0,0,FALSE,0,In-Store,11-Aug-24,22-Mar-24,27-Jan-24
Txn_4697,Cust_2635,Prod_35,5,50,292,Credit Card,2,0,Unknown,"PSC 6811, Box 9001 APO AP 15478",0,0,02-May-24,06-Apr-24,0,0,FALSE,0,In-Store,06-Apr-24,02-Jun-24,06-Apr-24
Txn_4990,Cust_6093,Prod_13,9,50,292,Cash,2,0,Pending,"2271 Tran Valleys Jessicaport, NH 27773",0,0,16-Jul-24,06-Apr-24,0,0,FALSE,0,Online,06-Apr-24,06-Apr-24,09-Jul-24
Txn_5002,Cust_5079,Prod_31,5,50,292,Cash,1,0,Completed,Unit 6694 Box 3132 DPO AA 54684,0,0,06-Oct-24,20-Jan-24,0,0,FALSE,0,In-Store,14-Feb-24,26-Jun-24,20-Jan-24
Txn_5043,Cust_8629,Prod_44,8,50,292,Credit Card,2,0,Completed,"54376 Vazquez Estates Suite 189 Jonathanmouth, TN 85966",0,0,24-Feb-24,08-Aug-24,0,0,FALSE,0,Online,26-Sep-24,08-Aug-24,08-Aug-24
Txn_5083,Cust_7739,Prod_10,9,50,292,Online Payment,1,0,Pending,"03563 Thomas Burgs Suite 042 Perryborough, PW 94539",0,0,23-Jun-24,07-Jul-24,0,0,FALSE,0,In-Store,11-Feb-24,18-Feb-24,07-Jul-24
